retailer,category,url,name,quantity,price,currency
magnit,Молочное,https://magnit.ru/product/1000023829-syr_tofu_prostoy_5_v_u_ip_veverka_a_v_2,Сыр Тофу простой 5% весовой,1000 г,149.97,RUB
magnit,Напитки,https://magnit.ru/product/1000023973-laimon_fresh_napitok_b_a_sil_gaz_1_5l_yubg_6,Напиток Laimon Fresh 1.5л,1.5 л,174.99,RUB
magnit,Овощи и фрукты,https://magnit.ru/product/1000024354-pomelo_krasnyy_1kg,Помело Красный,1300 г,246.98,RUB
magnit,Консервы,https://magnit.ru/product/1000024369-ananas_premier_of_taste_konservirovannyy_koltsami_850ml,Ананас консервированный кольца Магнит/Premiere of taste 850мл в ассортименте,820 г,239.99,RUB
magnit,Консервы,https://magnit.ru/product/1000024370-ananas_premier_of_taste_konservirovannyy_kusochkami_850ml,Ананас консервированный Магнит кусочки 850мл,820 г,239.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000025032-khlebtsy_zdorovyy_stil_vafelnye_rzhanye_70g,Хлебцы вафельные ржаные М Образ Жизни 70г,70 г,44.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000025133-tort_tryufel_0_5_kg_pokrovskiy_khleb_oao,Торт Трюфель Покровский хлеб 500г,500 г,,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000025134-tort_edem_0_5_kg_pokrovskiy_khleb_oao,Торт Эдем Покровский хлеб 500г,500 г,,RUB
magnit,Напитки,https://magnit.ru/product/1000025905-gangster_noir_t_voda_muzh_100ml_aroma_prom_36,Туалетная вода Gangster Noir Marsel Parfumeur мужская 100мл,100 мл,669.99,RUB
magnit,Хлеб и выпечка,https://magnit.ru/product/1000026010-lavash_armyanskiy_0_3kg_p_up_rizyk,Лаваш Армянский Ризык 300г,300 г,,RUB
magnit,Специи и приправы,https://magnit.ru/product/1000026040-kolgotki_zhen_konte_solo_40den_chern_r3_kontespa_12_96,Колготки женские Conte Solo 40 черные р.3,5 г,222.0,RUB
